user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.108	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__CCP5;s__	N/A	N/A	N/A	N/A	N/A	GCF_003017785.1	95.0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__CCP5;s__CCP5 sp003017785	77.15	0.19	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.45	11	0.934659303960403	N/A
bin.109	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__CAITNO01;g__SLFT01;s__	N/A	N/A	N/A	N/A	N/A	GCA_011046175.1	95.0	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__CAITNO01;g__SLFT01;s__SLFT01 sp011046175	77.17	0.18	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__CAITNO01;g__SLFT01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_007124105.1, s__SLFT01 sp007124105, 95.0, 76.51, 0.14; GCA_007118765.1, s__SLFT01 sp007118765, 95.0, 76.15, 0.13	94.46	11	0.9133635861627923	N/A
bin.11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	96.82	11	0.838563004020283	N/A
bin.110	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__SM23-32;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__SM23-32;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	85.31	11	0.7706403262248289	N/A
bin.111	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__RBG-16-55-9;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001778455.1	95.0	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__RBG-16-55-9;g__RBG-16-55-9;s__RBG-16-55-9 sp001778455	75.4	0.05	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	84.28	11	0.7955648847308321	N/A
bin.112	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCF_001854245.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__Desulfococcus;s__Desulfococcus multivorans	76.84	0.13	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	88.33	11	0.8396501041855526	N/A
bin.113	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_009929775.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__RZZS01;s__RZZS01 sp009929775	74.99	0.02	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	95.81	11	0.8471376900646878	N/A
bin.114	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	84.46	11	0.7760900931314106	N/A
bin.115	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SURF-3;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SURF-3;g__;s__	taxonomic novelty determined using RED	N/A	N/A	82.09	11	0.8824375791997354	N/A
bin.116	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Litoricolaceae;g__HIMB30;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Litoricolaceae;g__HIMB30;s__	ANI	N/A	GCA_002717305.1, s__HIMB30 sp002717305, 95.0, 78.25, 0.03; GCA_902541775.1, s__HIMB30 sp902541775, 95.0, 78.05, 0.05; GCA_002714245.1, s__HIMB30 sp002714245, 95.0, 77.65, 0.05; GCA_902594275.1, s__HIMB30 sp902594275, 95.0, 77.65, 0.06; GCA_004213775.1, s__HIMB30 sp004213775, 95.0, 77.6, 0.09; GCF_008087055.1, s__HIMB30 sp008087055, 95.0, 77.55, 0.14; GCA_002705795.1, s__HIMB30 sp002705795, 95.0, 77.01, 0.07; GCF_000227525.1, s__HIMB30 sp000227525, 95.0, 76.98, 0.13; GCA_002731015.1, s__HIMB30 sp002731015, 95.0, 76.93, 0.04; GCA_002691485.1, s__HIMB30 sp002691485, 95.0, 76.9, 0.1; GCA_010024125.1, s__HIMB30 sp010024125, 95.0, 76.89, 0.11; GCA_003513265.1, s__HIMB30 sp003513265, 95.0, 76.86, 0.06; GCA_902558075.1, s__HIMB30 sp902558075, 95.0, 76.59, 0.08; GCA_902536515.1, s__HIMB30 sp902536515, 95.0, 76.52, 0.07; GCA_009922705.1, s__HIMB30 sp009922705, 95.0, 76.46, 0.11; GCA_002705325.1, s__HIMB30 sp002705325, 95.0, 76.44, 0.12; GCA_002730235.1, s__HIMB30 sp002730235, 95.0, 75.85, 0.05	66.79	11	0.9094964022100814	N/A
bin.117	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	96.27	11	0.8118044600902524	N/A
bin.119	d__Bacteria;p__UBP14;c__UBA6098;o__UBA6098;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__UBP14;c__UBA6098;o__UBA6098;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	89.04	11	0.7284263951093667	N/A
bin.120	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__DSM-8902;g__;s__	N/A	N/A	N/A	N/A	N/A	GCF_000242595.2	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__DSM-8902;g__Spirochaeta_B;s__Spirochaeta_B africana	75.56	0.02	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	70.9	11	0.7511436123198885	N/A
bin.121	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__	N/A	N/A	N/A	N/A	N/A	GCA_009909085.1	95.0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__Halothece sp009909085	92.98	0.81	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000317635.1, s__Halothece sp000317635, 95.0, 81.44, 0.61; GCF_000317615.1, s__Halothece salina, 95.0, 77.74, 0.34; GCA_003021905.1, s__Halothece sp003021905, 95.0, 77.63, 0.43; GCF_007904085.1, s__Halothece natronophila, 95.0, 77.41, 0.29	88.07	11	0.9916059151073088	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.122	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalophaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalophaeraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	64.11	11	0.8769959118957239	N/A
bin.123	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__	N/A	N/A	N/A	N/A	N/A	GCA_002313505.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__Alkalispirochaeta sp002313505	77.19	0.22	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000373545.1, s__Alkalispirochaeta alkalica, 95.0, 76.51, 0.06; GCA_007130865.1, s__Alkalispirochaeta sp007130865, 95.0, 76.47, 0.06; GCF_900156105.1, s__Alkalispirochaeta americana, 95.0, 76.41, 0.05; GCA_007117185.1, s__Alkalispirochaeta sp007117185, 95.0, 76.32, 0.08; GCA_007695175.1, s__Alkalispirochaeta sp007695175, 95.0, 75.96, 0.06	89.3	11	0.936862263138264	N/A
bin.124	d__Bacteria;p__RBG-13-61-14;c__RBG-13-61-14;o__RBG-13-61-14;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001797815.1	95.0	d__Bacteria;p__RBG-13-61-14;c__RBG-13-61-14;o__RBG-13-61-14;f__RBG-13-61-14;g__RBG-13-61-14;s__RBG-13-61-14 sp001797815	75.76	0.06	d__Bacteria;p__RBG-13-61-14;c__RBG-13-61-14;o__RBG-13-61-14;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	72.98	11	0.659514775294564	N/A
bin.125	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__SM23-32;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__SM23-32;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	86.2	11	0.7235570659950792	N/A
bin.126	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	64.03	11	0.7740765151831436	N/A
bin.128	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	67.28	11	0.6570449299064919	N/A
bin.129	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_B;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001768735.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_B;f__UBA1247;g__UBA12471;s__UBA12471 sp001768735	75.57	0.02	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	97.92	11	0.6847405070347821	N/A
bin.13	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	66.03	11	0.5399785393931213	N/A
bin.130	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12077;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	91.74	11	0.804800939266173	N/A
bin.133	d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.25	11	0.7036701066614032	N/A
bin.134	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__SIT17;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	84.83	11	0.8279368684396955	N/A
bin.135	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	89.97	11	0.6939605486440259	N/A
bin.136	d__Bacteria;p__AABM5-125-24;c__JABMRZ01;o__JABMRZ01;f__JABMRZ01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_013202315.1	95.0	d__Bacteria;p__AABM5-125-24;c__JABMRZ01;o__JABMRZ01;f__JABMRZ01;g__JABMRZ01;s__JABMRZ01 sp013202315	75.13	0.05	d__Bacteria;p__AABM5-125-24;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	66.98	11	0.7542944198992787	N/A
bin.137	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1664;s__	N/A	N/A	N/A	N/A	N/A	GCA_002320485.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1664;s__UBA1664 sp002320485	76.04	0.12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1664;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002401195.1, s__UBA1664 sp002401195, 95.0, 76.18, 0.1	86.68	11	0.9212518780762472	N/A
bin.138	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	93.37	11	0.7827385115571158	N/A
bin.139	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1280;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1280;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	89.99	11	0.6778812939609147	N/A
bin.140	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__	N/A	N/A	N/A	N/A	N/A	GCF_000317635.1	95.0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__Halothece sp000317635	86.11	0.74	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__	taxonomic classification defined by topology and ANI	N/A	GCA_009909085.1, s__Halothece sp009909085, 95.0, 81.59, 0.63; GCF_000317615.1, s__Halothece salina, 95.0, 78.43, 0.38; GCF_007904085.1, s__Halothece natronophila, 95.0, 77.82, 0.32; GCA_003021905.1, s__Halothece sp003021905, 95.0, 77.51, 0.41	91.01	11	0.9850947917666657	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.141	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__BM507;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002869265.1	95.0	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__BM507;g__BM507;s__BM507 sp002869265	77.71	0.03	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	75.3	11	0.8146764100002567	N/A
